Object,Time Detected
yellow car,0:00:06.733333
yellow car,0:00:07.466667
yellow car,0:00:07.500000
yellow car,0:00:07.533333
yellow car,0:00:08.333333
yellow car,0:00:08.366667
yellow car,0:00:08.466667
yellow car,0:00:08.500000
yellow car,0:00:08.533333
yellow car,0:00:08.600000
yellow car,0:00:08.633333
yellow car,0:00:08.800000
yellow car,0:00:09.400000
yellow car,0:00:09.533333
yellow car,0:00:09.666667
yellow car,0:00:09.700000
yellow car,0:00:09.733333
yellow car,0:00:09.766667
yellow car,0:00:09.900000
yellow car,0:00:09.933333
yellow car,0:00:09.966667
yellow car,0:00:10
yellow car,0:00:10.033333
yellow car,0:00:10.066667
yellow car,0:00:10.100000
yellow car,0:00:10.133333
yellow car,0:00:10.166667
yellow car,0:02:17.400000
